strain	ucm_code	seq_code	source	location	country	genocluster	sequencing	origin	Scaffolds	N50	Biosample	Bioproject
EVEGA-307R	Lt077	Lt077	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	605	1120032	SAMN41391159	PRJNA1111406
EVEGA-26	Lt080	Lt080	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	883	828774	SAMN41391160	PRJNA1111406
ICVV43	Lt083	Lt083	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	557	1263919	SAMN41391161	PRJNA1111406
ICVV45	Lt084	Lt084	grape	Europe	Spain	Europe/Domestic-1	batch_1	anthropized	276	1399360	SAMN41391162	PRJNA1111406
MY115	Lt085	Lt085	grape	Europe	Spain	Europe/Domestic-2	batch_1	anthropized	395	1257067	SAMN41391163	PRJNA1111406
EXCELLANCE	Lt086	Lt086	grape	ND	ND	Europe/Domestic-2	batch_1	anthropized	310	1335679	SAMN41391164	PRJNA1111406
LAKTIA	Lt087	Lt087	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	504	1069278	SAMN41391165	PRJNA1111406
LEVULIA	Lt088	Lt088	grape	europe	ND	Europe/Domestic-2	batch_1	anthropized	463	1335034	SAMN41391166	PRJNA1111406
EnartisFerm Qƙ	Lt089	Lt089	grape	Europe	ND	Europe-Mix	batch_1	anthropized	451	1271629	SAMN41391167	PRJNA1111406
VINFLORA	Lt090	Lt090	grape	Europe	ND	Europe-Mix	batch_1	anthropized	520	1332163	SAMN41391168	PRJNA1111406
IFI 1135	Lt091	Lt091	grape	Europe	Spain	Europe/Domestic-1	batch_1	anthropized	198	1346098	SAMN41391169	PRJNA1111406
UPM 13.1	Lt092	Lt092	grape	ND	ND	Europe-Mix	batch_1	anthropized	481	952745	SAMN41391170	PRJNA1111406
37BS	Lt093	Lt093	grape	ND	ND	Europe-Mix	batch_1	anthropized	590	1020268	SAMN41391171	PRJNA1111406
UT01	Lt095	Lt095	grape	Europe	Spain	Europe/Domestic-2	batch_1	anthropized	417	1257132	SAMN41391172	PRJNA1111406
AF06	Lt100	Lt100	grape	Europe	Spain	Europe/Domestic-2	batch_1	anthropized	481	945987	SAMN41391173	PRJNA1111406
AF10	Lt101	Lt101	grape	Europe	Spain	Europe/Domestic-2	batch_1	anthropized	350	1334828	SAMN41391174	PRJNA1111406
WN12	Lt103	Lt103	plant	Europe	Spain	Europe-Mix	batch_1	anthropized	574	823645	SAMN41391175	PRJNA1111406
WN15	Lt105	Lt105	soil	Europe	Spain	Europe-Mix	batch_1	anthropized	521	1335843	SAMN41391176	PRJNA1111406
G13	Lt106	Lt106	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	569	1376708	SAMN41391177	PRJNA1111406
G32	Lt107	Lt107	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	664	1117071	SAMN41391178	PRJNA1111406
P41	Lt108	Lt108	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	627	664825	SAMN41391179	PRJNA1111406
P65	Lt110	Lt110	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	659	1375351	SAMN41391180	PRJNA1111406
P205	Lt115	Lt115	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	601	715546	SAMN41391181	PRJNA1111406
EM119	Lt118	Lt118	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	572	1264798	SAMN41391182	PRJNA1111406
LG21-05	Lt120	Lt120	grape	Europe	Spain	Europe/Domestic-2	batch_1	anthropized	367	869071	SAMN41391183	PRJNA1111406
R21-01	Lt121	Lt121	grape	Europe	Spain	Europe/Domestic-2	batch_1	anthropized	339	1398053	SAMN41391184	PRJNA1111406
B20-2.02	Lt122	Lt122	grape	Europe	Spain	Europe/Domestic-1	batch_1	anthropized	412	1389267	SAMN41391185	PRJNA1111406
B21-1.04	Lt123	Lt123	grape	Europe	Spain	Europe/Domestic-2	batch_1	anthropized	361	946268	SAMN41391186	PRJNA1111406
ROD21-1	Lt126	Lt126	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	622	1264605	SAMN41391187	PRJNA1111406
ROD21-2	Lt132	Lt132	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	751	726227	SAMN41391188	PRJNA1111406
ROD21-21	Lt133	Lt133	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	606	826896	SAMN41391189	PRJNA1111406
ROD21-29	Lt135	Lt135	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	577	1335231	SAMN41391190	PRJNA1111406
ROD21-35	Lt139	Lt139	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	641	1262874	SAMN41391191	PRJNA1111406
ROD21-4	Lt141	Lt141	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	555	754321	SAMN41391192	PRJNA1111406
ROD21-46	Lt143	Lt143	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	649	951868	SAMN41391193	PRJNA1111406
ROD21-49	Lt145	Lt145	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	555	752879	SAMN41391194	PRJNA1111406
ROD21-51	Lt147	Lt147	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	695	840952	SAMN41391195	PRJNA1111406
ROD21-62	Lt151	Lt151	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	606	968885	SAMN41391196	PRJNA1111406
ROD21-99	Lt157	Lt157	grape	Europe	Spain	Europe/Domestic-2	batch_1	anthropized	389	1334976	SAMN41391197	PRJNA1111406
BD-612	Lt160	Lt160	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	771	712733	SAMN41391198	PRJNA1111406
BD-715	Lt162	Lt162	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	651	1334351	SAMN41391199	PRJNA1111406
CR-520	Lt165	Lt165	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	640	1334734	SAMN41391200	PRJNA1111406
P46	Lt116	Lt166	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	575	784598	SAMN41391201	PRJNA1111406
CR-720	Lt176	Lt176	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	559	1334965	SAMN41391202	PRJNA1111406
MR-507	Lt179	Lt179	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	596	823625	SAMN41391203	PRJNA1111406
MR-616	Lt184	Lt184	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	519	1335577	SAMN41391204	PRJNA1111406
VJ-102	Lt316	Lt190	grape	Europe	Spain	Europe/Domestic-1	batch_1	anthropized	404	1345827	SAMN41391205	PRJNA1111406
VJ-525	Lt201	Lt201	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	526	1306074	SAMN41391206	PRJNA1111406
TR-319	Lt315	Lt202	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	580	952396	SAMN41391207	PRJNA1111406
TR-609	Lt205	Lt205	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	587	1337212	SAMN41391208	PRJNA1111406
MJ-618	Lt210	Lt210	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	575	875181	SAMN41391209	PRJNA1111406
MJ-704	Lt211	Lt211	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	689	872580	SAMN41391210	PRJNA1111406
CB-616	Lt218	Lt218	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	554	992392	SAMN41391211	PRJNA1111406
A11-612	Lt224	Lt224	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	499	952178	SAMN41391212	PRJNA1111406
CR-120	Lt247	Lt225	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	521	1372011	SAMN41391213	PRJNA1111406
MR-802	Lt191	Lt227	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	607	952579	SAMN41391214	PRJNA1111406
CB-204	Lt233	Lt233	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	614	1335153	SAMN41391215	PRJNA1111406
CB-313	Lt236	Lt236	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	562	1144956	SAMN41391216	PRJNA1111406
CR-107	Lt241	Lt241	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	672	829535	SAMN41391217	PRJNA1111406
CR-204	Lt248	Lt248	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	674	1376070	SAMN41391218	PRJNA1111406
CR-311	Lt253	Lt253	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	759	689907	SAMN41391219	PRJNA1111406
CR-706	Lt169	Lt256	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	471	1335202	SAMN41391220	PRJNA1111406
EVEGA-03	Lt166	Lt258	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	396	1334695	SAMN41391221	PRJNA1111406
LS-116	Lt259	Lt259	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	641	867845	SAMN41391222	PRJNA1111406
LS-205	Lt261	Lt261	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	606	712393	SAMN41391223	PRJNA1111406
MJ-205	Lt282	Lt282	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	571	825001	SAMN41391224	PRJNA1111406
MJ-220	Lt287	Lt287	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	582	951859	SAMN41391225	PRJNA1111406
MJ-311	Lt288	Lt288	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	427	1337433	SAMN41391226	PRJNA1111406
NG-108	Lt305	Lt305	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	542	1265067	SAMN41391227	PRJNA1111406
NG-116	Lt307	Lt307	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	622	952191	SAMN41391228	PRJNA1111406
TR-108	Lt309	Lt309	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	561	1085416	SAMN41391229	PRJNA1111406
VJ-108	Lt317	Lt317	grape	Europe	Spain	Europe/Domestic-1	batch_1	anthropized	360	1389140	SAMN41391230	PRJNA1111406
VJ-114	Lt319	Lt319	grape	Europe	Spain	Europe/Domestic-1	batch_1	anthropized	448	1340977	SAMN41391231	PRJNA1111406
VJ-124	Lt320	Lt320	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	412	1074327	SAMN41391232	PRJNA1111406
VJ-147	Lt322	Lt322	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	554	1335133	SAMN41391233	PRJNA1111406
LS-412	Lt268	Lt323	grape	Europe	Spain	Europe-Mix	batch_1	anthropized	460	1335203	SAMN41391234	PRJNA1111406
VJ-417	Lt324	Lt324	grape	Europe	Spain	Europe/Domestic-1	batch_1	anthropized	282	1341250	SAMN41391235	PRJNA1111406
