StandardizedName	StrainName	Paper	SRA	Coverage	GeographicOrigin	EcoOrigin	Country	Continent	Comment	PositionOnTree	Clade	SuperClade	Ploidy	NbHetSNPs	Heterozygosity	Zygosity	Aneuploidy
ACB	TL229S2.2	Peter et al. 2018	ERR1308825	249.29	France	Dairy	France	Europe		2061.0	24. Lab Strains		1	7.0	7.47e-07	Homozygous	euploid
ACC	YPS1000_1b	Peter et al. 2018	ERR1308993	244.99	USA	Tree	USA	North America		2710.0	34. South American Wild	S4. Wild	1	91.0	9.71e-06	Homozygous	euploid
ACD	YPS163_1b	Peter et al. 2018	ERR1308915	202.43	USA	Tree	USA	North America		3023.0	39. Asian Oak	S4. Wild	1	78.0	8.33e-06	Homozygous	euploid
ACF	CLIB294_1b	Peter et al. 2018	ERR1309423	202.32	France	Distillery	France	Europe		74.0	1. AU Wine 1	S1. Wine	1	12.0	1.28e-06	Homozygous	euploid
ACG	CLIB413_1b	Peter et al. 2018	ERR1309431	177.98	China	Fermentation	China	Asia		1285.0			1	80.0	8.54e-06	Homozygous	euploid
ACH	CLIB483_1b	Peter et al. 2018	ERR1309194	204.14	Brittany_France	Cider	France	Europe		1286.0			1	80.0	8.54e-06	Homozygous	euploid
ACI	Y10_1b	Peter et al. 2018	ERR1309154	183.1	Philippines	Fruit	Philippines	Asia		2639.0			1	144.0	1.54e-05	Homozygous	euploid
ACK	Y12_1b	Peter et al. 2018	ERR1308893	222.82	Ivory Coast	Palm wine	Ivory Coast	Africa		2561.0	30. Mantou	S3. Asian Fermentation	1	86.0	9.18e-06	Homozygous	euploid
ACL	Y3_1b	Peter et al. 2018	ERR1309459	211.88		Palm wine				2292.0			1	147.0	1.57e-05	Homozygous	aneu;+1*12;
ACM	Y9_4	Peter et al. 2018	ERR1308607	216.15	Indonesia	Fermentation	Indonesia	Asia		2558.0	30. Mantou	S3. Asian Fermentation	1	85.0	9.07e-06	Homozygous	euploid
ACN	YJM269_1b	Peter et al. 2018	ERR1308890	190.73	Austria	Wine	Austria	Europe		2047.0	24. Lab Strains		1	13.0	1.39e-06	Homozygous	euploid
ACP	CLIB154_1b	Peter et al. 2018	ERR1308665	241.15	Russia	Wine	Russia	Europe		165.0	1. AU Wine 1	S1. Wine	1	10.0	1.07e-06	Homozygous	euploid
ACQ	CLIB219_2b	Peter et al. 2018	ERR1308618	217.71	Russia	Wine	Russia	Europe		2744.0	35. Chinese Wild	S4. Wild	1	115.0	1.23e-05	Homozygous	euploid
ACR	DBVPG1339_1b	Peter et al. 2018	ERR1309466	272.7	Netherlands	Wine	Netherlands	Europe		558.0	6. West Europe Wine	S1. Wine	1	22.0	2.35e-06	Homozygous	euploid
ACS	I14_1b	Peter et al. 2018	ERR1309144	238.47	Italy	Wine	Italy	Europe		1539.0			1	48.0	5.12e-06	Homozygous	euploid
ACT	UC8_1b	Peter et al. 2018	ERR1308791	242.82	South Africa	Wine	South Africa	Africa		816.0	7. AU Wine 3	S1. Wine	1	19.0	2.03e-06	Homozygous	aneu;+1*1;
ACV	WE372_1b	Peter et al. 2018	ERR1308596	255.93	South Africa	Wine	South Africa	Africa		817.0	7. AU Wine 3	S1. Wine	1	24.0	2.56e-06	Homozygous	aneu;+1*1;
ADA	Y55_1b	Peter et al. 2018	ERR1309427	267.17	France	Wine	France	Europe		2055.0			1	94.0	1e-05	Homozygous	euploid
ADB	Y9J_1b	Peter et al. 2018	ERR1309415	259.21	Japan	Wine	Japan	Asia		691.0	7. AU Wine 3	S1. Wine	1	70.0	7.47e-06	Homozygous	aneu;+2*10;+1*11;+1*3;+1*5;+1*8;
ADC	UC1_1b	Peter et al. 2018	ERR1308809	258.65	France	Wine	France	Europe		491.0	6. West Europe Wine	S1. Wine	1	8.0	8.54e-07	Homozygous	euploid
ADD	IL_01_b	Peter et al. 2018	ERR1308917	224.66	Illinois_USA	Soil	USA	North America		622.0	7. AU Wine 3	S1. Wine	1	2.0	2.13e-07	Homozygous	euploid
ADE	PW5_b	Peter et al. 2018	ERR1309020	261.47	Aba_Abia State_Nigeria	Palm wine	Nigeria	Africa		1958.0	22. French Guiana Human		1	98.0	1.05e-05	Homozygous	euploid
ADF	YPS1009_b	Peter et al. 2018	ERR1309089	270.63	USA	Tree	USA	North America		2683.0	33. African Palm Wine		1	98.0	1.05e-05	Homozygous	euploid
ADG	NC_02_b	Peter et al. 2018	ERR1308685	264.64	North Carolina_USA	Tree	USA	North America		2843.0	36. North American Wild	S4. Wild	1	94.0	1e-05	Homozygous	euploid
ADH	T7_b	Peter et al. 2018	ERR1309064	286.58	Babler State Park_MO_USA	Tree	USA	North America		2563.0	30. Mantou	S3. Asian Fermentation	1	88.0	9.39e-06	Homozygous	euploid
ADI	YJM981_b	Peter et al. 2018	ERR1308593	220.39	Italy	Human_clinical	Italy	Europe		618.0	7. AU Wine 3	S1. Wine	1	4.0	4.27e-07	Homozygous	euploid
ADK	CLIB208_1	Peter et al. 2018	ERR1308807	223.54	Shanaong_China	Bakery	China	Asia		2089.0			2	19676.0	0.00210012	Heterozygous	aneu;-1*9;
ADL	CLIB318_1	Peter et al. 2018	ERR1309122	216.23	Netherlands	Bakery	Netherlands	Europe		1892.0	21. Mixed Origins 2	S2. Beer	2	31211.0	0.00333131	Heterozygous	aneu;+1*1;+1*11;+1*6;+1*9;
ADM	CLIB324_2	Peter et al. 2018	ERR1309212	298.37	Vietnam	Bakery	Vietnam	Asia		1906.0	21. Mixed Origins 2	S2. Beer	2	28346.0	0.00302552	Heterozygous	euploid
ADN	K1_1	Peter et al. 2018	ERR1309159	207.33	Japan	Sake	Japan	Asia		2490.0	29. Sake	S3. Asian Fermentation	1	85.0	9.07e-06	Homozygous	euploid
ADP	Y6_b	Peter et al. 2018	ERR1308698	267.09	French Guiana		French Guiana	South America		1822.0	20. Mixed Origins 1	S2. Beer	2	2916.0	0.00031124	Heterozygous	aneu;-1*1;-1*10;-1*12;-1*13;-1*14;-1*15;-1*16;-1*2;-1*3;-1*4;-1*5;-1*6;-1*7;-1*8;
ADQ	K12_2	Peter et al. 2018	ERR1309029	208.05	Japan	Sake	Japan	Asia		2482.0	29. Sake	S3. Asian Fermentation	1	47.0	5.02e-06	Homozygous	euploid
ADR	M22_1b	Peter et al. 2018	ERR1308788	225.93	Italy	Wine	Italy	Europe		910.0	8. AU Wine 4	S1. Wine	1	11.0	1.17e-06	Homozygous	euploid
ADS	T73_1b	Peter et al. 2018	ERR1309526	210.41	Alicante_Spain	Wine	Spain	Europe		542.0	6. West Europe Wine	S1. Wine	2	9.0	9.61e-07	Homozygous	euploid
ADT	CBS7765	Peter et al. 2018	ERR1309028	266.88	Sweden_Goteborg	Nature	Sweden	Europe		2074.0	24. Lab Strains		1	0.0	0.0	Homozygous	euploid
ADV	CBS7903	Peter et al. 2018	ERR1309484	218.53	Nigeria	Palm wine	Nigeria	Africa		2664.0	33. African Palm Wine		1	103.0	1.1e-05	Homozygous	euploid
AEA	CBS7958	Peter et al. 2018	ERR1309406	208.71	Sao Paulo_Brazil	Industrial	Brazil	South America		1375.0	12. Belgium Beer 1		1	202.0	2.16e-05	Homozygous	euploid
AEB	CBS1171	Peter et al. 2018	ERR1309300	211.86	Oranjeboom brewery_Rotterdam_Netherlands	Beer	Netherlands	Europe		1675.0	18. Belgium Beer 2	S2. Beer	4	24794.0	0.00264639	Heterozygous	aneu;+1*15;+2*3;
AEC	CBS1248	Peter et al. 2018	ERR1309314	111.36		Beer				1700.0	19. UK Beer	S2. Beer	4	31307.0	0.00334156	Heterozygous	euploid
AEE	CBS2441	Peter et al. 2018	ERR1309047	222.67		Distillery				2267.0			3	26632.0	0.00284257	Heterozygous	aneu;+3*1;+1*5;+1*8;+1*9;
AEF	CBS6414	Peter et al. 2018	ERR1308873	251.63	Japan	Sake	Japan	Asia		2463.0	29. Sake	S3. Asian Fermentation	1	40.0	4.27e-06	Homozygous	euploid
AEG	CBS7962	Peter et al. 2018	ERR1308731	254.96	Brazil	Industrial	Brazil	South America		1294.0	11. Brazilian Bioethanol		1	155.0	1.65e-05	Homozygous	euploid
AEH	CBS7964	Peter et al. 2018	ERR1308847	270.27	Brazil	Industrial	Brazil	South America		1297.0	11. Brazilian Bioethanol		1	45.0	4.8e-06	Homozygous	euploid
AEI	CBS1428	Peter et al. 2018	ERR1308980	239.66		Bakery				2302.0			1	105.0	1.12e-05	Homozygous	euploid
AEK	CBS4079	Peter et al. 2018	ERR1308639	302.59	Spain	Wine	Spain	Europe		397.0	5. Georgian Wine	S1. Wine	1	7.0	7.47e-07	Homozygous	euploid
AEL	CBS1394	Peter et al. 2018	ERR1309101	212.62		Distillery				2262.0			2	24369.0	0.00260103	Heterozygous	aneu;+1*5;-1*8;
AEM	CBS2973	Peter et al. 2018	ERR1308627	201.34		Beer				1806.0	20. Mixed Origins 1	S2. Beer	1	2305.0	0.00024603	Heterozygous	aneu;+1*11;
AEN	CBS4454	Peter et al. 2018	ERR1309076	207.02	South Africa	Beer	South Africa	Africa		1518.0	15. African Beer		2	11479.0	0.00122521	Heterozygous	aneu;+1*1;+2*12;+2*3;+1*4;
AEP	CBS1508	Peter et al. 2018	ERR1309160	327.29		Distillery				2506.0	30. Mantou	S3. Asian Fermentation	2	152.0	1.62e-05	Homozygous	aneu;+2*1;
AEQ	CBS1782	Peter et al. 2018	ERR1309512	226.95	Japan	Beer	Japan	Asia		1378.0	12. Belgium Beer 1		1	213.0	2.27e-05	Homozygous	euploid
AER	CBS2970	Peter et al. 2018	ERR1309522	218.44	San Jose sugar mill_Rio Piedras_Puerto Rico	Industrial	Puerto Rico	North America		1609.0			1	4414.0	0.00047113	Heterozygous	aneu;+1*2;+1*4;
AES	CBS4054	Peter et al. 2018	ERR1309368	183.53	Spain	Wine	Spain	Europe		420.0	5. Georgian Wine	S1. Wine	1	8.0	8.54e-07	Homozygous	aneu;+1*2;
AET	CBS6007	Peter et al. 2018	ERR1308679	185.36	Spain	Wine	Spain	Europe		395.0	5. Georgian Wine	S1. Wine	1	6.0	6.4e-07	Homozygous	euploid
AEV	CBS6216	Peter et al. 2018	ERR1308650	228.34	Rotterdam_Netherlands	Water	Netherlands	Europe		1884.0		S2. Beer	2	22288.0	0.00237891	Heterozygous	aneu;-1*1;+1*7;
AFA	CBS6503	Peter et al. 2018	ERR1309420	202.66	UK	Beer	United Kingdom	Europe		1355.0	12. Belgium Beer 1		2	215.0	2.29e-05	Homozygous	aneu;-1*16;
AFB	CBS7371	Peter et al. 2018	ERR1308680	223.9	UK	Beer	United Kingdom	Europe		1360.0	12. Belgium Beer 1		1	226.0	2.41e-05	Homozygous	euploid
AFC	CBS7764	Peter et al. 2018	ERR1309327	293.9	Goteborg_Sweden	Fruit	Sweden	Europe		1811.0	20. Mixed Origins 1	S2. Beer	2	23560.0	0.00251468	Heterozygous	aneu;-1*14;+1*7;
AFD	CBS7960	Peter et al. 2018	ERR1308983	185.24	Sao Paulo_Brazil	Industrial	Brazil	South America		1298.0	11. Brazilian Bioethanol		1	45.0	4.8e-06	Homozygous	euploid
AFE	CBS8291	Peter et al. 2018	ERR1309127	187.94	Sweden	Water	Sweden	Europe		1795.0	20. Mixed Origins 1	S2. Beer	2	19835.0	0.00211709	Heterozygous	euploid
AFF	CBS1252	Peter et al. 2018	ERR1309131	212.61	France	Bakery	France	Europe		1635.0		S2. Beer	1	92.0	9.820000000000001e-06	Homozygous	euploid
AFG	CBS1387	Peter et al. 2018	ERR1309145	677.67		Bakery				2303.0			1	86.0	9.18e-06	Homozygous	euploid
AFH	CBS1509	Peter et al. 2018	ERR1309521	483.78		Distillery				2504.0	30. Mantou	S3. Asian Fermentation	1	35.0	3.74e-06	Homozygous	euploid
AFI	CBS2183	Peter et al. 2018	ERR1309513	407.18	Chateau Chalon France	Wine	France	Europe		421.0	5. Georgian Wine	S1. Wine	1	28.0	2.99e-06	Homozygous	euploid
AFK	CBS2992	Peter et al. 2018	ERR1308753	186.73	Pakistan	Palm wine	Pakistan	Asia		2915.0	38. Taiwan Wild 2	S4. Wild	2	115.0	1.23e-05	Homozygous	euploid
AFL	CBS4456	Peter et al. 2018	ERR1308843	191.7	South Africa	Beer	South Africa	Africa		1517.0	15. African Beer		1	707.0	7.55e-05	Heterozygous	aneu;+1*8;
AFM	CBS6412	Peter et al. 2018	ERR1308937	692.6	Japan	Sake	Japan	Asia		2486.0	29. Sake	S3. Asian Fermentation	1	153.0	1.63e-05	Homozygous	aneu;+1*1;
AFN	CBS6413	Peter et al. 2018	ERR1309509	251.4	Japan	Sake	Japan	Asia		2480.0	29. Sake	S3. Asian Fermentation	1	42.0	4.48e-06	Homozygous	euploid
AFP	CBS6505	Peter et al. 2018	ERR1309364	242.74	UK	Beer	United Kingdom	Europe		1357.0	12. Belgium Beer 1		2	235.0	2.51e-05	Homozygous	euploid
AFQ	CBS7993	Peter et al. 2018	ERR1308647	242.7	Rio de Janeiro_Tijuca National Forest_Cushvara River_Brazil	Water	Brazil	South America		1603.0			1	23.0	2.45e-06	Homozygous	euploid
AFR	CBS7959	Peter et al. 2018	ERR1309137	251.37	Sao Paulo_Brazil	Industrial	Brazil	South America		1291.0	11. Brazilian Bioethanol		1	361.0	3.85e-05	Homozygous	aneu;+1*1;
AFS	CBS1173	Peter et al. 2018	ERR1309114	236.57		Fruit				1637.0			2	8316.0	0.00088761	Heterozygous	aneu;+1*1;+1*12;+1*13;+1*14;+1*2;-1*4;+1*5;+1*7;+1*8;
AFT	CBS1464	Peter et al. 2018	ERR1308987	221.43	Austria	Human_clinical	Austria	Europe		1807.0	20. Mixed Origins 1	S2. Beer	4	168.0	1.79e-05	Homozygous	aneu;+1*1;-1*12;+1*3;+1*6;
AFV	CBS2814	Peter et al. 2018	ERR1308598	223.79	Slovakia	Wine	Slovakia	Europe		436.0	5. Georgian Wine	S1. Wine	2	9.0	9.61e-07	Homozygous	aneu;-1*5;
AGA	CBS3012	Peter et al. 2018	ERR1308814	232.73	Cadiz_Spain	Wine	Spain	Europe		669.0	7. AU Wine 3	S1. Wine	2	8.0	8.54e-07	Homozygous	aneu;+2*1;+2*8;
AGB	CBS6308	Peter et al. 2018	ERR1308892	60.21	South Yorkshire_UK	Beer	United Kingdom	Europe		1695.0	19. UK Beer	S2. Beer	2	19591.0	0.00209105	Heterozygous	euploid
AGC	CBS2444	Peter et al. 2018	ERR1309000	85.34	Seagrams distillery_Louisville_Kentucky	Distillery	USA	North America		1636.0			1	4695.0	0.00050112	Heterozygous	euploid
AGE	CBS1385	Peter et al. 2018	ERR1309444	211.39		Bakery				1796.0	20. Mixed Origins 1	S2. Beer	2	22955.0	0.00245011	Heterozygous	aneu;-1*6;
AGF	CBS1479	Peter et al. 2018	ERR1309486	474.81		Wine				3.0	1. AU Wine 1	S1. Wine	1	10.0	1.07e-06	Homozygous	euploid
AGG	CBS1480	Peter et al. 2018	ERR1308790	216.93		Distillery				2505.0	30. Mantou	S3. Asian Fermentation	2	3912.0	0.00041755	Heterozygous	euploid
AGH	CBS1582	Peter et al. 2018	ERR1309035	225.47	Portugal	Wine	Portugal	Europe		68.0	1. AU Wine 1	S1. Wine	1	9.0	9.61e-07	Homozygous	euploid
AGI	CBS1590	Peter et al. 2018	ERR1308800	327.56	Italy	Wine	Italy	Europe		33.0	1. AU Wine 1	S1. Wine	2	10.0	1.07e-06	Homozygous	aneu;+1*1;+1*3;+1*6;
AGK	CBS2361	Peter et al. 2018	ERR1308845	405.33	UK	Nature	United Kingdom	Europe		1793.0	20. Mixed Origins 1	S2. Beer	1	161.0	1.72e-05	Homozygous	euploid
AGL	CBS4458	Peter et al. 2018	ERR1308762	921.3	France	Wine	France	Europe		122.0	1. AU Wine 1	S1. Wine	1	21.0	2.24e-06	Homozygous	aneu;+1*1;
AGM	CBS7961	Peter et al. 2018	ERR1309110	434.45	Sao Paulo_Brazil	Industrial	Brazil	South America		1295.0	11. Brazilian Bioethanol		1	92.0	9.820000000000001e-06	Homozygous	euploid
AGN	CBS439	Peter et al. 2018	ERR1309412	189.88	Germany	Wine	Germany	Europe		104.0	1. AU Wine 1	S1. Wine	1	16.0	1.71e-06	Homozygous	euploid
AGP	CBS1544	Peter et al. 2018	ERR1308795	287.01	Netherlands	Fruit	Netherlands	Europe		2176.0			1	1916.0	0.00020451	Heterozygous	aneu;+1*1;+1*9;
AGR	CBS1594	Peter et al. 2018	ERR1309258	188.68		Nature				2921.0	38. Taiwan Wild 2	S4. Wild	1	138.0	1.47e-05	Homozygous	euploid
AGS	CBS3013	Peter et al. 2018	ERR1309241	220.43	Cadiz_Spain	Wine	Spain	Europe		670.0	7. AU Wine 3	S1. Wine	1	10.0	1.07e-06	Homozygous	euploid
AGT	CBS3078	Peter et al. 2018	ERR1308673	215.25						2298.0			1	56.0	5.98e-06	Homozygous	euploid
AGV	CBS6223	Peter et al. 2018	ERR1308636	208.92	Chile	Wine	Chile	South America		659.0	7. AU Wine 3	S1. Wine	1	13.0	1.39e-06	Homozygous	euploid
AHA	CBS6333	Peter et al. 2018	ERR1309481	193.64	Costa Rica	Fruit	Costa Rica	North America		2225.0			1	103.0	1.1e-05	Homozygous	euploid
AHB	CBS4734	Peter et al. 2018	ERR1309288	213.35		Nature				1289.0			1	36.0	3.84e-06	Homozygous	euploid
AHC	CBS7963	Peter et al. 2018	ERR1309041	186.21	Sao Paulo_Brazil	Industrial	Brazil	South America		1296.0	11. Brazilian Bioethanol		1	37.0	3.95e-06	Homozygous	euploid
AHD	CBS1192	Peter et al. 2018	ERR1309455	307.98		Wine				2.0	1. AU Wine 1	S1. Wine	1	7.0	7.47e-07	Homozygous	aneu;+1*1;
AHE	CBS1194	Peter et al. 2018	ERR1309472	214.81		Wine				4.0	1. AU Wine 1	S1. Wine	1	188.0	2.01e-05	Homozygous	aneu;+1*8;
AHF	CBS1540	Peter et al. 2018	ERR1309361	235.42	Switzerland	Nature	Switzerland	Europe		1253.0	10. AU Wine 6	S1. Wine	1	22.0	2.35e-06	Homozygous	euploid
AHG	CBS1586	Peter et al. 2018	ERR1308781	227.73		Fruit				8.0	1. AU Wine 1	S1. Wine	1	35.0	3.74e-06	Homozygous	aneu;+1*10;
AHH	CBS3000	Peter et al. 2018	ERR1308924	202.82	Denmark	Palm wine	Denmark	Europe		2916.0	38. Taiwan Wild 2	S4. Wild	1	121.0	1.29e-05	Homozygous	euploid
AHI	CBS6914	Peter et al. 2018	ERR1308956	243.89	Spain	Wine	Spain	Europe		560.0	6. West Europe Wine	S1. Wine	1	7.0	7.47e-07	Homozygous	aneu;+1*14;
AHK	CBS2247	Peter et al. 2018	ERR1308738	210.66	South Africa	Wine	South Africa	Africa		422.0	5. Georgian Wine	S1. Wine	1	5.0	5.34e-07	Homozygous	euploid
AHL	CBS3081	Peter et al. 2018	ERR1309499	235.65	Spain	Industrial	Spain	Europe		315.0	3. Alpechin		1	332.0	3.54e-05	Homozygous	euploid
AHM	CBS3093	Peter et al. 2018	ERR1308934	205.57	Spain	Industrial	Spain	Europe		308.0	3. Alpechin		1	254.0	2.71e-05	Homozygous	euploid
AHN	CBS5635	Peter et al. 2018	ERR1309240	209.11	South Africa	Wine	South Africa	Africa		800.0	7. AU Wine 3	S1. Wine	1	31.0	3.31e-06	Homozygous	euploid
AHP	CBS5835	Peter et al. 2018	ERR1309345	264.63	Spain	Wine	Spain	Europe		394.0	5. Georgian Wine	S1. Wine	2	2053.0	0.00021913	Heterozygous	aneu;-1*1;
AHQ	CBS440	Peter et al. 2018	ERR1309019	239.06	Taiwan	Industrial	Taiwan	Asia		2496.0	30. Mantou	S3. Asian Fermentation	1	91.0	9.71e-06	Homozygous	euploid
AHR	CBS1227	Peter et al. 2018	ERR1308770	268.29	Romania	Human_clinical	Romania	Europe		98.0	1. AU Wine 1	S1. Wine	1	22.0	2.35e-06	Homozygous	euploid
AHS	CBS1419	Peter et al. 2018	ERR1308920	290.18	Ghana	Wine	Ghana	Africa		2659.0	33. African Palm Wine		1	66.0	7.04e-06	Homozygous	aneu;+1*9;
AHT	CBS1460	Peter et al. 2018	ERR1309437	243.62	Indonesia	Fermentation	Indonesia	Asia		455.0	6. West Europe Wine	S1. Wine	1	4.0	4.27e-07	Homozygous	euploid
AHV	CBS1487	Peter et al. 2018	ERR1309271	191.58		Beer				1775.0	20. Mixed Origins 1	S2. Beer	1	1963.0	0.00020952	Heterozygous	aneu;+1*1;+1*11;
AIA	CBS2180	Peter et al. 2018	ERR1309200	174.73	Italy	Wine	Italy	Europe		434.0	5. Georgian Wine	S1. Wine	1	4.0	4.27e-07	Homozygous	euploid
AIB	CBS2805	Peter et al. 2018	ERR1308949	233.2	Slovakia	Wine	Slovakia	Europe		449.0	5. Georgian Wine	S1. Wine	1	3.0	3.2e-07	Homozygous	euploid
AIC	CBS2807	Peter et al. 2018	ERR1309173	202.28	Slovakia	Wine	Slovakia	Europe		438.0	5. Georgian Wine	S1. Wine	1	8.0	8.54e-07	Homozygous	aneu;+1*3;
